Date	Time	Pulse_ID	DO	DI	UO	UI	Batt_V	Ext_V
2024-11-15	10:01:11	1	18.947	18.695	19.081	18.811	4.05	24.15
2024-11-15	10:01:12	1	18.940	18.692	19.074	18.808	4.02	22.26
2024-11-15	10:01:13	1	18.934	18.687	19.067	18.801	3.86	23.27
2024-11-15	10:01:14	1	18.927	18.681	19.062	18.800	4.12	22.25
2024-11-15	10:01:15	1	18.919	18.677	19.053	18.791	3.81	24.13
2024-11-15	10:01:16	1	18.915	18.673	19.050	18.789	4.09	21.04
2024-11-15	10:01:17	1	18.908	18.669	19.044	18.784	4.11	22.25
2024-11-15	10:01:18	1	18.903	18.666	19.039	18.780	3.99	22.10
2024-11-15	10:01:19	1	18.899	18.663	19.035	18.778	4.03	20.22
2024-11-15	10:01:20	1	18.895	18.659	19.027	18.774	3.88	24.78
2024-11-15	10:01:21	1	18.890	18.653	19.023	18.772	3.96	24.78
2024-11-15	10:01:22	1	18.884	18.653	19.018	18.768	4.04	21.12
2024-11-15	10:01:23	1	18.882	18.649	19.010	18.762	4.11	24.73
2024-11-15	10:01:24	1	18.877	18.647	19.009	18.761	4.15	20.72
2024-11-15	10:01:25	1	18.873	18.645	19.003	18.760	4.19	20.22
2024-11-15	10:01:26	1	18.870	18.643	19.000	18.757	3.89	22.61
2024-11-15	10:01:27	1	18.864	18.638	18.996	18.754	4.04	20.50
2024-11-15	10:01:28	1	18.863	18.638	18.993	18.754	3.92	21.18
2024-11-15	10:01:29	1	18.859	18.637	18.989	18.750	3.85	20.76
2024-11-15	10:01:30	1	18.857	18.633	18.986	18.747	3.85	24.17
2024-11-15	10:01:31	1	18.853	18.632	18.981	18.744	3.81	23.38
2024-11-15	10:01:32	1	18.850	18.631	18.979	18.742	3.94	22.22
2024-11-15	10:01:33	1	18.849	18.628	18.978	18.742	4.07	23.42
2024-11-15	10:01:34	1	18.846	18.626	18.971	18.740	3.85	22.19
2024-11-15	10:01:35	1	18.845	18.625	18.969	18.738	4.07	20.12
2024-11-15	10:01:36	1	18.843	18.625	18.967	18.736	3.92	21.72
2024-11-15	10:01:37	1	18.841	18.623	18.966	18.734	4.14	24.19
2024-11-15	10:01:38	1	18.840	18.624	18.963	18.734	3.89	21.01
2024-11-15	10:01:39	1	18.835	18.619	18.959	18.731	4.12	24.89
2024-11-15	10:01:40	1	18.834	18.620	18.958	18.730	4.13	23.80
2024-11-15	10:01:41	1	18.834	18.619	18.955	18.729	3.83	20.61
2024-11-15	10:01:42	1	18.833	18.618	18.952	18.728	4.08	24.29
2024-11-15	10:01:43	1	18.830	18.617	18.949	18.725	4.19	23.74
2024-11-15	10:01:44	1	18.829	18.616	18.948	18.725	4.03	24.36
2024-11-15	10:01:45	1	18.826	18.613	18.947	18.724	4.02	22.66
2024-11-15	10:01:46	1	18.826	18.614	18.944	18.722	4.12	21.21
2024-11-15	10:01:47	1	18.824	18.613	18.944	18.722	3.86	21.80
2024-11-15	10:01:48	1	18.823	18.612	18.943	18.721	4.02	24.73
2024-11-15	10:01:49	1	18.821	18.613	18.938	18.720	4.16	23.34
2024-11-15	10:01:50	1	18.821	18.612	18.937	18.719	4.06	21.12
2024-11-15	10:01:51	1	18.818	18.611	18.936	18.717	3.95	23.83
2024-11-15	10:01:52	1	18.819	18.609	18.937	18.718	3.90	20.64
2024-11-15	10:01:53	1	18.817	18.608	18.935	18.718	4.02	24.32
2024-11-15	10:01:54	1	18.817	18.610	18.933	18.716	4.05	20.08
2024-11-15	10:01:55	1	18.816	18.608	18.930	18.717	4.10	24.56
2024-11-15	10:01:56	1	18.816	18.607	18.931	18.715	3.97	24.85
2024-11-15	10:01:57	1	18.815	18.607	18.928	18.715	3.90	20.65
2024-11-15	10:01:58	1	18.814	18.608	18.930	18.713	3.83	22.86
2024-11-15	10:01:59	1	18.813	18.606	18.926	18.712	4.04	23.29
2024-11-15	10:30:00	2	18.800	18.598	18.902	18.699	4.15	20.55
2024-11-15	10:30:01	2	18.802	18.599	18.900	18.701	4.06	24.62
2024-11-15	10:30:02	2	18.801	18.599	18.900	18.699	4.01	24.66
2024-11-15	10:30:03	2	18.802	18.601	18.899	18.700	3.84	23.78
2024-11-15	10:30:04	2	18.801	18.601	18.902	18.701	4.19	22.93
2024-11-15	10:30:05	2	18.801	18.600	18.902	18.699	4.17	20.77
2024-11-15	10:30:06	2	18.801	18.599	18.899	18.700	3.81	21.72
2024-11-15	10:30:07	2	18.801	18.601	18.900	18.700	3.89	21.81
2024-11-15	10:30:08	2	18.801	18.600	18.900	18.699	3.98	24.22
2024-11-15	10:30:09	2	18.801	18.598	18.900	18.700	3.88	20.55
2024-11-15	10:30:10	2	18.800	18.599	18.900	18.700	3.93	21.84
2024-11-15	10:30:11	2	18.801	18.601	18.901	18.698	4.10	23.09
2024-11-15	10:30:12	2	18.802	18.600	18.902	18.701	3.96	23.47
2024-11-15	10:30:13	2	18.801	18.599	18.901	18.699	4.01	23.92
2024-11-15	10:30:14	2	18.801	18.600	18.901	18.701	3.96	20.21
2024-11-15	10:30:15	2	18.800	18.601	18.899	18.701	3.87	24.09
2024-11-15	10:30:16	2	18.799	18.599	18.901	18.699	4.19	22.20
2024-11-15	10:30:17	2	18.800	18.599	18.898	18.700	4.17	21.97
2024-11-15	10:30:18	2	18.801	18.599	18.900	18.700	3.81	23.10
2024-11-15	10:30:19	2	18.802	18.600	18.901	18.700	3.83	20.13
2024-11-15	10:30:20	2	18.799	18.601	18.900	18.702	3.96	24.60
2024-11-15	10:30:21	2	18.800	18.604	18.900	18.700	3.98	24.38
2024-11-15	10:30:22	2	18.799	18.600	18.901	18.701	4.18	22.49
2024-11-15	10:30:23	2	18.800	18.598	18.899	18.700	3.95	23.99
2024-11-15	10:30:24	2	18.801	18.600	18.899	18.700	3.93	21.60
2024-11-15	10:30:25	2	18.799	18.600	18.900	18.701	4.20	24.59
2024-11-15	10:30:26	2	18.801	18.600	18.900	18.699	4.13	20.39
2024-11-15	10:30:27	2	18.799	18.599	18.901	18.700	4.08	22.33
2024-11-15	10:30:28	2	18.802	18.600	18.901	18.699	3.85	23.86
2024-11-15	10:30:29	2	18.798	18.600	18.899	18.700	3.85	22.91
2024-11-15	10:30:30	2	19.941	19.544	18.899	18.699	4.09	22.15
2024-11-15	10:30:31	2	19.886	19.496	18.899	18.701	4.01	23.36
2024-11-15	10:30:32	2	19.833	19.446	18.900	18.701	3.92	24.17
2024-11-15	10:30:33	2	19.784	19.401	18.901	18.701	3.85	23.56
2024-11-15	10:30:34	2	19.734	19.360	18.898	18.700	4.19	21.95
2024-11-15	10:30:35	2	19.689	19.316	19.667	19.273	3.97	21.92
2024-11-15	10:30:36	2	19.644	19.277	19.639	19.247	3.87	20.02
2024-11-15	10:30:37	2	19.606	19.242	19.609	19.222	4.16	20.51
2024-11-15	10:30:38	2	19.567	19.207	19.582	19.199	3.81	20.48
2024-11-15	10:30:39	2	19.528	19.173	19.554	19.179	4.11	24.32
2024-11-15	10:30:40	2	19.493	19.141	19.530	19.157	3.86	23.42
2024-11-15	10:30:41	2	19.457	19.112	19.505	19.134	4.03	22.50
2024-11-15	10:30:42	2	19.426	19.086	19.481	19.116	3.89	20.74
2024-11-15	10:30:43	2	19.393	19.059	19.456	19.100	3.84	22.52
2024-11-15	10:30:44	2	19.367	19.033	19.436	19.081	4.02	20.60
2024-11-15	10:30:45	2	19.339	19.010	19.415	19.063	3.86	24.26
2024-11-15	10:30:46	2	19.315	18.990	19.395	19.049	3.83	20.48
2024-11-15	10:30:47	2	19.287	18.967	19.376	19.033	4.14	20.37
2024-11-15	10:30:48	2	19.264	18.948	19.357	19.020	4.20	22.50
2024-11-15	10:30:49	2	19.242	18.929	19.339	19.002	4.04	22.43
2024-11-15	10:30:50	2	19.219	18.912	19.322	18.989	3.84	23.41
2024-11-15	10:30:51	2	19.199	18.894	19.307	18.977	4.01	21.80
2024-11-15	10:30:52	2	19.179	18.878	19.289	18.965	4.06	22.15
2024-11-15	10:30:53	2	19.161	18.864	19.275	18.953	4.03	21.89
2024-11-15	10:30:54	2	19.143	18.849	19.259	18.941	3.94	22.22
2024-11-15	10:30:55	2	19.126	18.835	19.245	18.931	3.97	24.79
2024-11-15	10:30:56	2	19.111	18.822	19.230	18.920	3.97	20.13
2024-11-15	10:30:57	2	19.094	18.812	19.219	18.913	3.93	20.09
2024-11-15	10:30:58	2	19.081	18.799	19.206	18.901	4.19	23.21
2024-11-15	10:30:59	2	19.068	18.788	19.193	18.893	3.87	20.38
2024-11-15	10:31:00	2	19.055	18.779	19.182	18.884	3.92	20.11
2024-11-15	10:31:01	2	19.040	18.769	19.173	18.875	4.18	24.82
2024-11-15	10:31:02	2	19.033	18.761	19.161	18.869	3.87	22.84
2024-11-15	10:31:03	2	19.020	18.751	19.151	18.861	4.04	20.82
2024-11-15	10:31:04	2	19.008	18.744	19.141	18.852	3.84	21.33
2024-11-15	10:31:05	2	18.998	18.733	19.132	18.846	4.02	22.91
2024-11-15	10:31:06	2	18.987	18.728	19.122	18.840	3.84	24.72
2024-11-15	10:31:07	2	18.979	18.719	19.113	18.835	3.89	23.57
2024-11-15	10:31:08	2	18.970	18.713	19.105	18.828	3.93	23.79
2024-11-15	10:31:09	2	18.962	18.710	19.098	18.822	4.12	22.19
2024-11-15	10:31:10	2	18.954	18.702	19.088	18.817	4.19	21.63
2024-11-15	10:31:11	2	18.949	18.696	19.083	18.812	4.10	21.94
2024-11-15	10:31:12	2	18.939	18.691	19.075	18.807	4.19	21.60
2024-11-15	10:31:13	2	18.933	18.686	19.068	18.802	4.00	22.03
2024-11-15	10:31:14	2	18.927	18.680	19.063	18.796	3.86	21.79
2024-11-15	10:31:15	2	18.921	18.677	19.055	18.795	4.02	20.63
2024-11-15	10:31:16	2	18.916	18.672	19.049	18.788	4.06	24.87
2024-11-15	10:31:17	2	18.907	18.671	19.045	18.786	4.03	22.21
2024-11-15	10:31:18	2	18.904	18.664	19.037	18.781	3.96	21.01
2024-11-15	10:31:19	2	18.899	18.661	19.030	18.776	4.04	23.13
2024-11-15	10:31:20	2	18.893	18.659	19.030	18.776	3.94	23.19
2024-11-15	10:31:21	2	18.888	18.655	19.021	18.771	4.11	21.56
2024-11-15	10:31:22	2	18.885	18.652	19.016	18.769	4.15	22.03
2024-11-15	10:31:23	2	18.881	18.649	19.014	18.765	3.88	22.38
2024-11-15	10:31:24	2	18.876	18.646	19.008	18.762	3.87	23.74
2024-11-15	10:31:25	2	18.874	18.646	19.002	18.759	3.97	24.21
2024-11-15	10:31:26	2	18.870	18.642	18.999	18.756	3.94	24.94
2024-11-15	10:31:27	2	18.865	18.641	18.996	18.754	3.80	24.38
2024-11-15	10:31:28	2	18.863	18.638	18.993	18.753	3.88	22.88
2024-11-15	10:31:29	2	18.860	18.636	18.989	18.749	4.09	23.21
2024-11-15	10:31:30	2	18.856	18.633	18.986	18.747	3.86	22.69
2024-11-15	10:31:31	2	18.853	18.632	18.982	18.745	3.95	24.14
2024-11-15	10:31:32	2	18.851	18.630	18.980	18.743	3.97	20.96
2024-11-15	10:31:33	2	18.850	18.629	18.974	18.740	3.86	22.22
2024-11-15	10:31:34	2	18.846	18.626	18.974	18.741	4.10	24.78
2024-11-15	10:31:35	2	18.844	18.626	18.971	18.737	4.00	24.55
2024-11-15	10:31:36	2	18.843	18.624	18.965	18.735	4.04	23.48
2024-11-15	10:31:37	2	18.839	18.623	18.964	18.733	3.95	20.59
2024-11-15	10:31:38	2	18.839	18.621	18.961	18.731	4.09	23.74
2024-11-15	10:31:39	2	18.835	18.619	18.962	18.732	4.12	23.41
2024-11-15	10:31:40	2	18.834	18.619	18.957	18.731	4.19	21.61
2024-11-15	10:31:41	2	18.832	18.618	18.955	18.729	3.87	24.33
2024-11-15	10:31:42	2	18.832	18.618	18.955	18.727	4.11	20.39
2024-11-15	10:31:43	2	18.831	18.618	18.949	18.726	4.05	23.11
2024-11-15	10:31:44	2	18.829	18.616	18.949	18.725	4.05	20.96
2024-11-15	10:31:45	2	18.826	18.615	18.948	18.723	4.06	23.31
2024-11-15	10:31:46	2	18.824	18.613	18.946	18.725	3.85	23.52
2024-11-15	10:31:47	2	18.826	18.614	18.944	18.720	4.15	20.26
2024-11-15	10:31:48	2	18.824	18.611	18.942	18.721	3.90	20.28
2024-11-15	10:31:49	2	18.821	18.612	18.941	18.722	4.01	22.65
2024-11-15	10:31:50	2	18.821	18.612	18.940	18.718	3.93	21.93
2024-11-15	10:31:51	2	18.823	18.611	18.936	18.719	3.80	22.32
2024-11-15	10:31:52	2	18.819	18.610	18.936	18.718	4.01	24.10
2024-11-15	10:31:53	2	18.816	18.608	18.934	18.718	3.84	24.00
2024-11-15	10:31:54	2	18.818	18.608	18.933	18.715	3.88	20.07
2024-11-15	10:31:55	2	18.816	18.610	18.931	18.716	3.95	24.87
2024-11-15	10:31:56	2	18.816	18.608	18.930	18.715	3.96	20.53
2024-11-15	10:31:57	2	18.815	18.608	18.929	18.713	4.15	22.49
2024-11-15	10:31:58	2	18.816	18.608	18.930	18.714	3.92	24.47
2024-11-15	10:31:59	2	18.815	18.609	18.927	18.713	3.86	23.21
2024-11-15	11:00:00	3	18.799	18.599	18.900	18.700	4.00	20.61
2024-11-15	11:00:01	3	18.797	18.599	18.902	18.701	3.82	22.45
2024-11-15	11:00:02	3	18.801	18.600	18.901	18.699	3.96	21.55
2024-11-15	11:00:03	3	18.799	18.600	18.900	18.700	4.12	20.29
2024-11-15	11:00:04	3	18.801	18.598	18.900	18.699	3.88	20.26
2024-11-15	11:00:05	3	18.799	18.599	18.901	18.702	4.11	24.67
2024-11-15	11:00:06	3	18.801	18.601	18.901	18.702	4.05	22.43
2024-11-15	11:00:07	3	18.801	18.601	18.898	18.700	4.04	20.69
2024-11-15	11:00:08	3	18.801	18.602	18.898	18.699	4.15	23.87
2024-11-15	11:00:09	3	18.801	18.600	18.899	18.699	3.85	20.27
2024-11-15	11:00:10	3	18.799	18.598	18.900	18.699	3.98	20.28
2024-11-15	11:00:11	3	18.800	18.601	18.900	18.700	4.05	22.11
2024-11-15	11:00:12	3	18.800	18.600	18.899	18.700	4.11	24.93
2024-11-15	11:00:13	3	18.800	18.599	18.902	18.699	4.17	20.72
2024-11-15	11:00:14	3	18.800	18.600	18.899	18.701	3.98	21.15
2024-11-15	11:00:15	3	18.799	18.600	18.900	18.700	3.92	22.72
2024-11-15	11:00:16	3	18.798	18.600	18.899	18.700	3.99	21.82
2024-11-15	11:00:17	3	18.799	18.602	18.900	18.699	3.83	23.46
2024-11-15	11:00:18	3	18.798	18.598	18.900	18.699	3.85	22.48
2024-11-15	11:00:19	3	18.801	18.601	18.900	18.700	3.92	22.24
2024-11-15	11:00:20	3	18.799	18.599	18.900	18.700	4.09	23.01
2024-11-15	11:00:21	3	18.802	18.602	18.902	18.701	4.06	24.70
2024-11-15	11:00:22	3	18.800	18.599	18.899	18.699	3.90	20.81
2024-11-15	11:00:23	3	18.801	18.599	18.901	18.699	3.91	24.30
2024-11-15	11:00:24	3	18.800	18.601	18.900	18.700	3.85	20.17
2024-11-15	11:00:25	3	18.801	18.600	18.899	18.700	3.92	22.71
2024-11-15	11:00:26	3	18.799	18.599	18.900	18.700	3.97	20.99
2024-11-15	11:00:27	3	18.800	18.599	18.900	18.700	3.95	23.84
2024-11-15	11:00:28	3	18.800	18.600	18.900	18.698	3.98	23.06
2024-11-15	11:00:29	3	18.801	18.600	18.900	18.700	3.93	21.35
2024-11-15	11:00:30	3	19.944	19.546	18.899	18.702	4.03	21.15
2024-11-15	11:00:31	3	19.885	19.494	18.900	18.701	4.20	22.32
2024-11-15	11:00:32	3	19.834	19.446	18.900	18.699	3.99	23.76
2024-11-15	11:00:33	3	19.780	19.401	18.902	18.698	4.02	21.18
2024-11-15	11:00:34	3	19.737	19.358	18.900	18.698	4.03	23.65
2024-11-15	11:00:35	3	19.688	19.317	19.670	19.273	4.00	21.07
2024-11-15	11:00:36	3	19.645	19.275	19.640	19.247	4.11	22.17
2024-11-15	11:00:37	3	19.604	19.240	19.610	19.224	3.81	21.97
2024-11-15	11:00:38	3	19.566	19.207	19.583	19.198	3.98	22.25
2024-11-15	11:00:39	3	19.526	19.173	19.556	19.179	3.99	20.67
2024-11-15	11:00:40	3	19.492	19.143	19.532	19.159	4.03	22.97
2024-11-15	11:00:41	3	19.459	19.114	19.504	19.136	3.98	24.90
2024-11-15	11:00:42	3	19.426	19.085	19.480	19.117	4.10	23.42
2024-11-15	11:00:43	3	19.396	19.060	19.457	19.099	4.07	23.53
2024-11-15	11:00:44	3	19.366	19.037	19.436	19.082	3.92	23.68
2024-11-15	11:00:45	3	19.340	19.010	19.416	19.063	3.99	23.28
2024-11-15	11:00:46	3	19.313	18.988	19.394	19.047	3.87	20.17
2024-11-15	11:00:47	3	19.289	18.966	19.374	19.032	4.07	21.86
2024-11-15	11:00:48	3	19.265	18.948	19.357	19.017	4.09	20.57
2024-11-15	11:00:49	3	19.241	18.929	19.340	19.004	4.07	23.18
2024-11-15	11:00:50	3	19.220	18.911	19.321	18.990	4.06	22.28
2024-11-15	11:00:51	3	19.199	18.897	19.305	18.978	4.07	22.08
2024-11-15	11:00:52	3	19.182	18.879	19.291	18.967	3.93	20.60
2024-11-15	11:00:53	3	19.161	18.863	19.274	18.954	3.95	23.11
2024-11-15	11:00:54	3	19.144	18.849	19.259	18.942	4.20	21.66
2024-11-15	11:00:55	3	19.126	18.837	19.245	18.931	4.06	20.66
2024-11-15	11:00:56	3	19.112	18.823	19.233	18.918	3.84	21.56
2024-11-15	11:00:57	3	19.096	18.813	19.219	18.910	3.89	21.59
2024-11-15	11:00:58	3	19.082	18.800	19.205	18.903	3.98	22.92
2024-11-15	11:00:59	3	19.068	18.790	19.194	18.894	3.88	21.87
2024-11-15	11:01:00	3	19.056	18.778	19.184	18.884	4.15	24.82
2024-11-15	11:01:01	3	19.042	18.769	19.171	18.876	3.98	23.37
2024-11-15	11:01:02	3	19.031	18.760	19.163	18.869	4.08	24.38
2024-11-15	11:01:03	3	19.019	18.752	19.151	18.859	4.17	21.24
2024-11-15	11:01:04	3	19.008	18.743	19.141	18.855	4.20	23.83
2024-11-15	11:01:05	3	18.998	18.733	19.132	18.846	3.92	21.64
2024-11-15	11:01:06	3	18.988	18.728	19.121	18.841	4.05	20.24
2024-11-15	11:01:07	3	18.979	18.722	19.114	18.833	3.89	21.52
2024-11-15	11:01:08	3	18.971	18.715	19.107	18.829	3.93	20.96
2024-11-15	11:01:09	3	18.963	18.707	19.098	18.823	4.17	21.95
2024-11-15	11:01:10	3	18.956	18.703	19.089	18.818	3.88	24.63
2024-11-15	11:01:11	3	18.948	18.697	19.083	18.811	3.94	21.86
2024-11-15	11:01:12	3	18.939	18.693	19.075	18.806	3.94	21.72
2024-11-15	11:01:13	3	18.933	18.687	19.069	18.802	4.18	20.00
2024-11-15	11:01:14	3	18.926	18.681	19.062	18.796	3.85	22.08
2024-11-15	11:01:15	3	18.921	18.678	19.054	18.794	3.91	24.13
2024-11-15	11:01:16	3	18.915	18.675	19.049	18.789	4.01	21.38
2024-11-15	11:01:17	3	18.908	18.669	19.043	18.787	4.10	21.07
2024-11-15	11:01:18	3	18.901	18.667	19.037	18.780	4.01	23.78
2024-11-15	11:01:19	3	18.898	18.662	19.033	18.777	3.98	20.94
2024-11-15	11:01:20	3	18.895	18.658	19.028	18.774	3.82	20.99
2024-11-15	11:01:21	3	18.889	18.655	19.021	18.771	4.07	20.53
2024-11-15	11:01:22	3	18.886	18.654	19.017	18.768	4.07	22.05
2024-11-15	11:01:23	3	18.883	18.650	19.014	18.763	4.09	22.19
2024-11-15	11:01:24	3	18.877	18.647	19.008	18.761	4.20	23.45
2024-11-15	11:01:25	3	18.874	18.647	19.005	18.760	3.97	21.52
2024-11-15	11:01:26	3	18.870	18.644	19.001	18.756	3.86	23.76
2024-11-15	11:01:27	3	18.865	18.641	18.995	18.755	3.86	24.57
2024-11-15	11:01:28	3	18.863	18.639	18.991	18.751	3.85	21.29
2024-11-15	11:01:29	3	18.860	18.635	18.987	18.748	3.98	22.33
2024-11-15	11:01:30	3	18.857	18.632	18.985	18.748	3.84	20.51
2024-11-15	11:01:31	3	18.855	18.631	18.982	18.746	4.00	21.75
2024-11-15	11:01:32	3	18.852	18.630	18.981	18.744	3.98	21.03
2024-11-15	11:01:33	3	18.848	18.628	18.975	18.741	3.82	23.57
2024-11-15	11:01:34	3	18.846	18.627	18.972	18.739	4.09	21.00
2024-11-15	11:01:35	3	18.843	18.626	18.969	18.738	3.94	24.08
2024-11-15	11:01:36	3	18.842	18.625	18.969	18.735	3.92	21.44
2024-11-15	11:01:37	3	18.838	18.621	18.965	18.733	4.13	24.34
2024-11-15	11:01:38	3	18.837	18.622	18.961	18.732	4.17	21.82
2024-11-15	11:01:39	3	18.835	18.620	18.961	18.731	3.99	21.26
2024-11-15	11:01:40	3	18.836	18.617	18.956	18.728	3.88	23.77
2024-11-15	11:01:41	3	18.833	18.618	18.954	18.727	4.03	21.43
2024-11-15	11:01:42	3	18.833	18.617	18.951	18.727	4.16	23.76
2024-11-15	11:01:43	3	18.829	18.615	18.950	18.725	3.84	22.05
2024-11-15	11:01:44	3	18.829	18.616	18.948	18.726	3.80	24.20
2024-11-15	11:01:45	3	18.825	18.616	18.948	18.725	3.93	24.72
2024-11-15	11:01:46	3	18.827	18.614	18.943	18.724	3.86	22.55
2024-11-15	11:01:47	3	18.824	18.614	18.944	18.722	4.18	24.86
2024-11-15	11:01:48	3	18.822	18.614	18.943	18.721	3.88	20.14
2024-11-15	11:01:49	3	18.821	18.612	18.939	18.718	3.92	20.29
2024-11-15	11:01:50	3	18.820	18.611	18.938	18.719	3.96	22.55
2024-11-15	11:01:51	3	18.820	18.610	18.937	18.719	4.16	24.34
2024-11-15	11:01:52	3	18.819	18.610	18.934	18.717	3.84	20.89
2024-11-15	11:01:53	3	18.819	18.609	18.932	18.716	4.17	23.49
2024-11-15	11:01:54	3	18.819	18.610	18.931	18.717	4.05	20.06
2024-11-15	11:01:55	3	18.814	18.607	18.931	18.715	4.18	23.53
2024-11-15	11:01:56	3	18.815	18.608	18.931	18.714	4.16	23.54
